2026-07-15 10:50:04,092 - ============================================================
2026-07-15 10:50:04,092 - Barkley Tracker 啟動
2026-07-15 10:50:04,092 - Log 檔案：logs\barkley_20260715_105004.log
2026-07-15 10:50:04,092 - ============================================================
2026-07-15 10:50:14,895 - 書籍分類模型：成功使用 Intel GPU (Xe)
2026-07-15 10:50:28,606 - Pose: 0 persons | Book: no_book: 0.9979, book_1: 0.0007, book_2: 0.0004, book_3: 0.0010 | Sitting: N/A
2026-07-15 10:50:31,704 - Pose: 0 persons | Book: no_book: 0.9935, book_1: 0.0018, book_2: 0.0012, book_3: 0.0035 | Sitting: N/A
2026-07-15 10:50:34,712 - Pose: 0 persons | Book: no_book: 0.9920, book_1: 0.0024, book_2: 0.0016, book_3: 0.0040 | Sitting: N/A
2026-07-15 10:50:37,712 - Pose: 0 persons | Book: no_book: 0.9932, book_1: 0.0019, book_2: 0.0014, book_3: 0.0035 | Sitting: N/A
2026-07-15 10:50:40,842 - Pose: 0 persons | Book: no_book: 0.9872, book_1: 0.0033, book_2: 0.0029, book_3: 0.0065 | Sitting: N/A
2026-07-15 10:50:44,036 - Pose: 0 persons | Book: no_book: 0.9910, book_1: 0.0024, book_2: 0.0018, book_3: 0.0048 | Sitting: N/A
2026-07-15 10:50:47,128 - Pose: 0 persons | Book: no_book: 0.9899, book_1: 0.0026, book_2: 0.0021, book_3: 0.0054 | Sitting: N/A
2026-07-15 10:50:50,274 - Pose: 0 persons | Book: no_book: 0.9885, book_1: 0.0029, book_2: 0.0025, book_3: 0.0061 | Sitting: N/A
2026-07-15 10:50:53,524 - Pose: 0 persons | Book: no_book: 0.9943, book_1: 0.0015, book_2: 0.0010, book_3: 0.0032 | Sitting: N/A
2026-07-15 10:50:56,659 - Pose: 0 persons | Book: no_book: 0.9919, book_1: 0.0018, book_2: 0.0016, book_3: 0.0046 | Sitting: N/A
2026-07-15 10:50:59,861 - Pose: 0 persons | Book: no_book: 0.9887, book_1: 0.0032, book_2: 0.0024, book_3: 0.0056 | Sitting: N/A
2026-07-15 10:51:03,097 - Pose: 0 persons | Book: no_book: 0.9952, book_1: 0.0013, book_2: 0.0009, book_3: 0.0026 | Sitting: N/A
2026-07-15 10:51:06,339 - Pose: 0 persons | Book: no_book: 0.9923, book_1: 0.0024, book_2: 0.0015, book_3: 0.0037 | Sitting: N/A
2026-07-15 10:51:09,549 - Pose: 0 persons | Book: no_book: 0.9941, book_1: 0.0016, book_2: 0.0010, book_3: 0.0033 | Sitting: N/A
2026-07-15 10:51:12,786 - Pose: 0 persons | Book: no_book: 0.9910, book_1: 0.0023, book_2: 0.0018, book_3: 0.0049 | Sitting: N/A
2026-07-15 10:51:15,911 - Pose: 0 persons | Book: no_book: 0.9929, book_1: 0.0019, book_2: 0.0015, book_3: 0.0037 | Sitting: N/A
2026-07-15 10:51:19,082 - Pose: 0 persons | Book: no_book: 0.9906, book_1: 0.0027, book_2: 0.0018, book_3: 0.0049 | Sitting: N/A
