2026-07-15 10:51:53,535 - ============================================================
2026-07-15 10:51:53,535 - Barkley Tracker 啟動
2026-07-15 10:51:53,535 - Log 檔案：logs\barkley_20260715_105153.log
2026-07-15 10:51:53,535 - ============================================================
2026-07-15 10:52:02,845 - YOLO pose 模型：成功載入 OpenVINO 格式（使用 CPU 推論，已 Intel 優化）
2026-07-15 10:52:05,944 - 書籍分類模型：成功使用 Intel GPU (Xe)
2026-07-15 10:52:18,013 - Pose: 0 persons | Book: no_book: 0.9949, book_1: 0.0014, book_2: 0.0012, book_3: 0.0025 | Sitting: N/A
2026-07-15 10:52:21,274 - Pose: 0 persons | Book: no_book: 0.9907, book_1: 0.0025, book_2: 0.0020, book_3: 0.0049 | Sitting: N/A
2026-07-15 10:52:25,671 - Pose: 0 persons | Book: no_book: 0.9940, book_1: 0.0018, book_2: 0.0011, book_3: 0.0031 | Sitting: N/A
2026-07-15 10:52:28,756 - Pose: 0 persons | Book: no_book: 0.9899, book_1: 0.0028, book_2: 0.0023, book_3: 0.0050 | Sitting: N/A
2026-07-15 10:52:32,118 - Pose: 0 persons | Book: no_book: 0.9902, book_1: 0.0027, book_2: 0.0020, book_3: 0.0052 | Sitting: N/A
2026-07-15 10:52:35,348 - Pose: 0 persons | Book: no_book: 0.9910, book_1: 0.0028, book_2: 0.0019, book_3: 0.0043 | Sitting: N/A
2026-07-15 10:52:38,450 - Pose: 0 persons | Book: no_book: 0.9875, book_1: 0.0034, book_2: 0.0027, book_3: 0.0063 | Sitting: N/A
2026-07-15 10:52:41,694 - Pose: 0 persons | Book: no_book: 0.9937, book_1: 0.0018, book_2: 0.0012, book_3: 0.0033 | Sitting: N/A
2026-07-15 10:52:44,910 - Pose: 0 persons | Book: no_book: 0.9898, book_1: 0.0027, book_2: 0.0021, book_3: 0.0054 | Sitting: N/A
2026-07-15 10:52:47,988 - Pose: 0 persons | Book: no_book: 0.9953, book_1: 0.0012, book_2: 0.0008, book_3: 0.0027 | Sitting: N/A
2026-07-15 10:52:51,032 - Pose: 0 persons | Book: no_book: 0.9880, book_1: 0.0037, book_2: 0.0025, book_3: 0.0058 | Sitting: N/A
2026-07-15 10:52:54,261 - Pose: 0 persons | Book: no_book: 0.9942, book_1: 0.0013, book_2: 0.0011, book_3: 0.0034 | Sitting: N/A
2026-07-15 10:52:57,436 - Pose: 0 persons | Book: no_book: 0.9938, book_1: 0.0017, book_2: 0.0012, book_3: 0.0032 | Sitting: N/A
2026-07-15 10:53:00,630 - Pose: 0 persons | Book: no_book: 0.9920, book_1: 0.0023, book_2: 0.0018, book_3: 0.0039 | Sitting: N/A
2026-07-15 10:53:03,660 - Pose: 0 persons | Book: no_book: 0.9901, book_1: 0.0028, book_2: 0.0022, book_3: 0.0049 | Sitting: N/A
