2026-07-15 10:53:26,032 - ============================================================
2026-07-15 10:53:26,032 - Barkley Tracker 啟動
2026-07-15 10:53:26,032 - Log 檔案：logs\barkley_20260715_105326.log
2026-07-15 10:53:26,032 - ============================================================
2026-07-15 10:53:35,416 - YOLO pose 模型：成功載入 OpenVINO 格式
2026-07-15 10:53:38,547 - 書籍分類模型：成功使用 Intel GPU (Xe)
2026-07-15 10:53:38,965 - YOLO pose GPU 推論失敗，改用 CPU
2026-07-15 10:53:41,075 - YOLO pose：已切換至 CPU 推論
2026-07-15 10:53:51,299 - Pose: 0 persons | Book: no_book: 0.9935, book_1: 0.0021, book_2: 0.0016, book_3: 0.0027 | Sitting: N/A
2026-07-15 10:53:54,542 - Pose: 0 persons | Book: no_book: 0.9936, book_1: 0.0019, book_2: 0.0011, book_3: 0.0034 | Sitting: N/A
2026-07-15 10:53:57,922 - Pose: 0 persons | Book: no_book: 0.9917, book_1: 0.0022, book_2: 0.0017, book_3: 0.0044 | Sitting: N/A
2026-07-15 10:54:01,177 - Pose: 0 persons | Book: no_book: 0.9924, book_1: 0.0019, book_2: 0.0015, book_3: 0.0041 | Sitting: N/A
2026-07-15 10:54:04,346 - Pose: 0 persons | Book: no_book: 0.9914, book_1: 0.0024, book_2: 0.0018, book_3: 0.0044 | Sitting: N/A
2026-07-15 10:54:07,349 - Pose: 0 persons | Book: no_book: 0.9929, book_1: 0.0019, book_2: 0.0014, book_3: 0.0037 | Sitting: N/A
2026-07-15 10:54:10,429 - Pose: 0 persons | Book: no_book: 0.9929, book_1: 0.0018, book_2: 0.0016, book_3: 0.0037 | Sitting: N/A
2026-07-15 10:54:13,505 - Pose: 0 persons | Book: no_book: 0.9922, book_1: 0.0019, book_2: 0.0014, book_3: 0.0045 | Sitting: N/A
2026-07-15 10:54:16,557 - Pose: 0 persons | Book: no_book: 0.9919, book_1: 0.0023, book_2: 0.0017, book_3: 0.0041 | Sitting: N/A
2026-07-15 10:54:19,811 - Pose: 0 persons | Book: no_book: 0.9929, book_1: 0.0021, book_2: 0.0015, book_3: 0.0036 | Sitting: N/A
2026-07-15 10:54:22,919 - Pose: 0 persons | Book: no_book: 0.9960, book_1: 0.0012, book_2: 0.0007, book_3: 0.0021 | Sitting: N/A
2026-07-15 10:54:25,959 - Pose: 0 persons | Book: no_book: 0.9905, book_1: 0.0028, book_2: 0.0020, book_3: 0.0047 | Sitting: N/A
2026-07-15 10:54:29,105 - Pose: 1 persons | Book: no_book: 0.9952, book_1: 0.0012, book_2: 0.0008, book_3: 0.0027 | Sitting: P0:not_sitting
2026-07-15 10:54:32,281 - Pose: 0 persons | Book: no_book: 0.9869, book_1: 0.0037, book_2: 0.0034, book_3: 0.0060 | Sitting: N/A
2026-07-15 10:54:35,436 - Pose: 0 persons | Book: no_book: 0.9938, book_1: 0.0017, book_2: 0.0012, book_3: 0.0032 | Sitting: N/A
2026-07-15 10:54:38,504 - Pose: 0 persons | Book: no_book: 0.9957, book_1: 0.0011, book_2: 0.0009, book_3: 0.0022 | Sitting: N/A
2026-07-15 10:54:41,689 - Pose: 0 persons | Book: no_book: 0.9907, book_1: 0.0024, book_2: 0.0020, book_3: 0.0048 | Sitting: N/A
2026-07-15 10:54:44,798 - Pose: 0 persons | Book: no_book: 0.9899, book_1: 0.0027, book_2: 0.0021, book_3: 0.0052 | Sitting: N/A
2026-07-15 10:54:47,937 - Pose: 0 persons | Book: no_book: 0.9912, book_1: 0.0023, book_2: 0.0017, book_3: 0.0048 | Sitting: N/A
2026-07-15 10:54:51,197 - Pose: 0 persons | Book: no_book: 0.9914, book_1: 0.0026, book_2: 0.0019, book_3: 0.0042 | Sitting: N/A
2026-07-15 10:54:54,341 - Pose: 0 persons | Book: no_book: 0.9931, book_1: 0.0016, book_2: 0.0015, book_3: 0.0038 | Sitting: N/A
2026-07-15 10:54:57,402 - Pose: 0 persons | Book: no_book: 0.9921, book_1: 0.0020, book_2: 0.0015, book_3: 0.0044 | Sitting: N/A
2026-07-15 10:55:00,493 - Pose: 0 persons | Book: no_book: 0.9922, book_1: 0.0020, book_2: 0.0018, book_3: 0.0040 | Sitting: N/A
2026-07-15 10:55:03,695 - Pose: 0 persons | Book: no_book: 0.9937, book_1: 0.0018, book_2: 0.0013, book_3: 0.0033 | Sitting: N/A
2026-07-15 10:55:06,700 - Pose: 0 persons | Book: no_book: 0.9916, book_1: 0.0022, book_2: 0.0019, book_3: 0.0043 | Sitting: N/A
2026-07-15 10:55:09,887 - Pose: 0 persons | Book: no_book: 0.9912, book_1: 0.0022, book_2: 0.0016, book_3: 0.0050 | Sitting: N/A
2026-07-15 10:55:13,193 - Pose: 0 persons | Book: no_book: 0.9897, book_1: 0.0025, book_2: 0.0022, book_3: 0.0055 | Sitting: N/A
2026-07-15 10:55:16,229 - Pose: 0 persons | Book: no_book: 0.9958, book_1: 0.0010, book_2: 0.0007, book_3: 0.0024 | Sitting: N/A
2026-07-15 10:55:19,313 - Pose: 0 persons | Book: no_book: 0.9914, book_1: 0.0022, book_2: 0.0017, book_3: 0.0048 | Sitting: N/A
2026-07-15 10:55:22,523 - Pose: 0 persons | Book: no_book: 0.9928, book_1: 0.0019, book_2: 0.0016, book_3: 0.0037 | Sitting: N/A
2026-07-15 10:55:25,623 - Pose: 0 persons | Book: no_book: 0.9906, book_1: 0.0025, book_2: 0.0018, book_3: 0.0051 | Sitting: N/A
2026-07-15 10:55:28,702 - Pose: 0 persons | Book: no_book: 0.9912, book_1: 0.0023, book_2: 0.0018, book_3: 0.0046 | Sitting: N/A
2026-07-15 10:55:31,926 - Pose: 0 persons | Book: no_book: 0.9915, book_1: 0.0023, book_2: 0.0018, book_3: 0.0045 | Sitting: N/A
2026-07-15 10:55:35,058 - Pose: 0 persons | Book: no_book: 0.9907, book_1: 0.0025, book_2: 0.0018, book_3: 0.0050 | Sitting: N/A
2026-07-15 10:55:38,135 - Pose: 0 persons | Book: no_book: 0.9933, book_1: 0.0016, book_2: 0.0013, book_3: 0.0038 | Sitting: N/A
2026-07-15 10:55:41,164 - Pose: 0 persons | Book: no_book: 0.9935, book_1: 0.0017, book_2: 0.0013, book_3: 0.0035 | Sitting: N/A
