2026-07-15 11:21:23,282 - ============================================================
2026-07-15 11:21:23,284 - Barkley Tracker 啟動
2026-07-15 11:21:23,284 - Log 檔案：logs\barkley_20260715_112123.log
2026-07-15 11:21:23,284 - ============================================================
2026-07-15 11:21:32,550 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 11:21:32,648 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 11:21:32,659 - 書籍分類 - 設定裝置: GPU
2026-07-15 11:21:35,999 - 書籍分類模型：✓ GPU.0 編譯成功，使用 Intel GPU (Iris Xe)
2026-07-15 11:21:36,422 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 11:21:36,424 - YOLO - 設定裝置: GPU
2026-07-15 11:21:44,070 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 11:21:56,041 - Pose: 0 persons | Book: no_book: 0.9945, book_1: 0.0018, book_2: 0.0015, book_3: 0.0022 | Sitting: N/A
2026-07-15 11:21:58,160 - Pose: 0 persons | Book: no_book: 0.9959, book_1: 0.0012, book_2: 0.0008, book_3: 0.0021 | Sitting: N/A
2026-07-15 11:22:00,161 - Pose: 0 persons | Book: no_book: 0.9933, book_1: 0.0019, book_2: 0.0012, book_3: 0.0035 | Sitting: N/A
2026-07-15 11:22:02,363 - Pose: 0 persons | Book: no_book: 0.9883, book_1: 0.0032, book_2: 0.0026, book_3: 0.0059 | Sitting: N/A
2026-07-15 11:22:04,516 - Pose: 0 persons | Book: no_book: 0.9902, book_1: 0.0024, book_2: 0.0019, book_3: 0.0055 | Sitting: N/A
2026-07-15 11:22:06,657 - Pose: 0 persons | Book: no_book: 0.9934, book_1: 0.0018, book_2: 0.0014, book_3: 0.0034 | Sitting: N/A
2026-07-15 11:22:08,846 - Pose: 0 persons | Book: no_book: 0.9879, book_1: 0.0032, book_2: 0.0028, book_3: 0.0060 | Sitting: N/A
2026-07-15 11:22:10,875 - Pose: 0 persons | Book: no_book: 0.9916, book_1: 0.0023, book_2: 0.0017, book_3: 0.0044 | Sitting: N/A
2026-07-15 11:22:12,934 - Pose: 0 persons | Book: no_book: 0.9954, book_1: 0.0013, book_2: 0.0009, book_3: 0.0023 | Sitting: N/A
2026-07-15 11:22:15,085 - Pose: 0 persons | Book: no_book: 0.9884, book_1: 0.0035, book_2: 0.0029, book_3: 0.0053 | Sitting: N/A
2026-07-15 11:22:17,261 - Pose: 0 persons | Book: no_book: 0.9949, book_1: 0.0017, book_2: 0.0010, book_3: 0.0025 | Sitting: N/A
2026-07-15 11:22:19,463 - Pose: 0 persons | Book: no_book: 0.9879, book_1: 0.0032, book_2: 0.0028, book_3: 0.0061 | Sitting: N/A
2026-07-15 11:22:21,535 - Pose: 0 persons | Book: no_book: 0.9891, book_1: 0.0027, book_2: 0.0023, book_3: 0.0059 | Sitting: N/A
2026-07-15 11:22:23,568 - Pose: 0 persons | Book: no_book: 0.9951, book_1: 0.0014, book_2: 0.0010, book_3: 0.0025 | Sitting: N/A
2026-07-15 11:22:25,645 - Pose: 0 persons | Book: no_book: 0.9932, book_1: 0.0019, book_2: 0.0013, book_3: 0.0037 | Sitting: N/A
2026-07-15 11:22:27,821 - Pose: 0 persons | Book: no_book: 0.9932, book_1: 0.0020, book_2: 0.0015, book_3: 0.0033 | Sitting: N/A
