2026-07-15 11:45:12,355 - ============================================================
2026-07-15 11:45:12,355 - Barkley Tracker 啟動
2026-07-15 11:45:12,356 - Log 檔案：logs\barkley_20260715_114512.log
2026-07-15 11:45:12,356 - ============================================================
2026-07-15 11:45:20,312 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 11:45:20,404 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 11:45:20,410 - 書籍分類 - 設定裝置: CPU
2026-07-15 11:45:20,472 - 書籍分類模型：✓ CPU 編譯成功，使用 CPU
2026-07-15 11:45:20,873 - 幀採樣間隔: 1.0 秒
2026-07-15 11:45:20,888 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 11:45:20,888 - YOLO - 設定裝置: GPU
2026-07-15 11:45:25,339 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 11:45:28,391 - Pose: 2 persons | Book: no_book: 0.9946, book_1: 0.0014, book_2: 0.0010, book_3: 0.0030 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:45:30,374 - Pose: 1 persons | Book: no_book: 0.9944, book_1: 0.0016, book_2: 0.0010, book_3: 0.0031 | Sitting: P0:not_sitting
2026-07-15 11:45:32,317 - Pose: 1 persons | Book: no_book: 0.9905, book_1: 0.0024, book_2: 0.0019, book_3: 0.0052 | Sitting: P0:sitting
2026-07-15 11:45:34,195 - Pose: 1 persons | Book: no_book: 0.9918, book_1: 0.0021, book_2: 0.0017, book_3: 0.0043 | Sitting: P0:sitting
2026-07-15 11:45:36,184 - Pose: 1 persons | Book: no_book: 0.9940, book_1: 0.0015, book_2: 0.0013, book_3: 0.0033 | Sitting: P0:sitting
2026-07-15 11:45:38,079 - Pose: 1 persons | Book: no_book: 0.9925, book_1: 0.0022, book_2: 0.0013, book_3: 0.0039 | Sitting: P0:not_sitting
2026-07-15 11:45:39,462 - Pose: 1 persons | Book: no_book: 0.9938, book_1: 0.0018, book_2: 0.0011, book_3: 0.0033 | Sitting: P0:not_sitting
2026-07-15 11:45:39,706 - Pose: 1 persons | Book: no_book: 0.9943, book_1: 0.0015, book_2: 0.0011, book_3: 0.0031 | Sitting: P0:not_sitting
2026-07-15 11:45:40,644 - Pose: 1 persons | Book: no_book: 0.9927, book_1: 0.0019, book_2: 0.0014, book_3: 0.0040 | Sitting: P0:sitting
2026-07-15 11:45:41,667 - Pose: 1 persons | Book: no_book: 0.9946, book_1: 0.0012, book_2: 0.0010, book_3: 0.0031 | Sitting: P0:sitting
2026-07-15 11:45:42,675 - Pose: 1 persons | Book: no_book: 0.9917, book_1: 0.0022, book_2: 0.0017, book_3: 0.0045 | Sitting: P0:sitting
