2026-07-15 12:03:43,124 - ============================================================
2026-07-15 12:03:43,124 - Barkley Tracker 啟動
2026-07-15 12:03:43,124 - Log 檔案：logs\barkley_20260715_120343.log
2026-07-15 12:03:43,124 - ============================================================
2026-07-15 12:03:51,042 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 12:03:51,136 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 12:03:51,145 - 書籍分類 - 設定裝置: CPU
2026-07-15 12:03:51,199 - 書籍分類模型：✓ CPU 編譯成功，使用 CPU
2026-07-15 12:03:51,601 - 幀採樣間隔: 1.0 秒
2026-07-15 12:03:51,601 - YOLO pose ROI 初始位置: (624, 204)
2026-07-15 12:03:51,617 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 12:03:51,617 - YOLO - 設定裝置: GPU
2026-07-15 12:03:56,462 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 12:03:59,105 - Pose: 1 persons | Book: no_book: 0.9922, book_1: 0.0019, book_2: 0.0017, book_3: 0.0042 | Sitting: P0:not_sitting
2026-07-15 12:04:00,336 - Pose: 1 persons | Book: no_book: 0.9970, book_1: 0.0008, book_2: 0.0005, book_3: 0.0017 | Sitting: P0:not_sitting
2026-07-15 12:04:01,548 - Pose: 1 persons | Book: no_book: 0.9936, book_1: 0.0015, book_2: 0.0013, book_3: 0.0036 | Sitting: P0:not_sitting
2026-07-15 12:04:02,775 - Pose: 1 persons | Book: no_book: 0.9954, book_1: 0.0009, book_2: 0.0008, book_3: 0.0029 | Sitting: P0:not_sitting
2026-07-15 12:04:03,944 - Pose: 1 persons | Book: no_book: 0.9902, book_1: 0.0026, book_2: 0.0023, book_3: 0.0050 | Sitting: P0:not_sitting
2026-07-15 12:04:04,654 - Pose: 1 persons | Book: no_book: 0.9905, book_1: 0.0022, book_2: 0.0019, book_3: 0.0054 | Sitting: P0:not_sitting
2026-07-15 12:04:05,095 - Pose: 1 persons | Book: no_book: 0.9960, book_1: 0.0010, book_2: 0.0007, book_3: 0.0023 | Sitting: P0:not_sitting
2026-07-15 12:04:06,134 - Pose: 1 persons | Book: no_book: 0.9947, book_1: 0.0012, book_2: 0.0009, book_3: 0.0032 | Sitting: P0:not_sitting
2026-07-15 12:04:07,156 - Pose: 1 persons | Book: no_book: 0.9934, book_1: 0.0016, book_2: 0.0013, book_3: 0.0037 | Sitting: P0:not_sitting
2026-07-15 12:04:08,195 - Pose: 1 persons | Book: no_book: 0.9965, book_1: 0.0008, book_2: 0.0006, book_3: 0.0020 | Sitting: P0:not_sitting
2026-07-15 12:04:09,221 - Pose: 1 persons | Book: no_book: 0.9979, book_1: 0.0005, book_2: 0.0004, book_3: 0.0012 | Sitting: P0:not_sitting
2026-07-15 12:04:10,226 - Pose: 1 persons | Book: no_book: 0.9938, book_1: 0.0017, book_2: 0.0011, book_3: 0.0034 | Sitting: P0:not_sitting
2026-07-15 12:04:11,253 - Pose: 1 persons | Book: no_book: 0.9950, book_1: 0.0014, book_2: 0.0010, book_3: 0.0027 | Sitting: P0:not_sitting
2026-07-15 12:04:12,262 - Pose: 1 persons | Book: no_book: 0.9923, book_1: 0.0020, book_2: 0.0017, book_3: 0.0040 | Sitting: P0:not_sitting
2026-07-15 12:04:13,283 - Pose: 1 persons | Book: no_book: 0.9966, book_1: 0.0010, book_2: 0.0006, book_3: 0.0019 | Sitting: P0:not_sitting
2026-07-15 12:04:14,296 - Pose: 1 persons | Book: no_book: 0.9944, book_1: 0.0015, book_2: 0.0009, book_3: 0.0032 | Sitting: P0:not_sitting
2026-07-15 12:04:15,317 - Pose: 1 persons | Book: no_book: 0.9937, book_1: 0.0017, book_2: 0.0013, book_3: 0.0033 | Sitting: P0:not_sitting
2026-07-15 12:04:16,326 - Pose: 1 persons | Book: no_book: 0.9937, book_1: 0.0017, book_2: 0.0011, book_3: 0.0036 | Sitting: P0:not_sitting
2026-07-15 12:04:17,366 - Pose: 1 persons | Book: no_book: 0.9936, book_1: 0.0017, book_2: 0.0012, book_3: 0.0035 | Sitting: P0:not_sitting
2026-07-15 12:04:18,390 - Pose: 1 persons | Book: no_book: 0.9920, book_1: 0.0022, book_2: 0.0018, book_3: 0.0041 | Sitting: P0:not_sitting
2026-07-15 12:04:19,401 - Pose: 1 persons | Book: no_book: 0.9918, book_1: 0.0021, book_2: 0.0016, book_3: 0.0045 | Sitting: P0:not_sitting
2026-07-15 12:04:20,425 - Pose: 1 persons | Book: no_book: 0.9941, book_1: 0.0016, book_2: 0.0012, book_3: 0.0032 | Sitting: P0:not_sitting
2026-07-15 12:04:21,444 - Pose: 1 persons | Book: no_book: 0.9964, book_1: 0.0009, book_2: 0.0007, book_3: 0.0020 | Sitting: P0:not_sitting
2026-07-15 12:04:22,462 - Pose: 1 persons | Book: no_book: 0.9936, book_1: 0.0015, book_2: 0.0013, book_3: 0.0036 | Sitting: P0:not_sitting
2026-07-15 12:04:23,477 - Pose: 1 persons | Book: no_book: 0.9897, book_1: 0.0026, book_2: 0.0022, book_3: 0.0054 | Sitting: P0:not_sitting
2026-07-15 12:04:24,501 - Pose: 1 persons | Book: no_book: 0.9928, book_1: 0.0017, book_2: 0.0014, book_3: 0.0041 | Sitting: P0:not_sitting
2026-07-15 12:04:25,512 - Pose: 1 persons | Book: no_book: 0.9966, book_1: 0.0009, book_2: 0.0006, book_3: 0.0020 | Sitting: P0:not_sitting
2026-07-15 12:04:26,533 - Pose: 1 persons | Book: no_book: 0.9968, book_1: 0.0008, book_2: 0.0006, book_3: 0.0019 | Sitting: P0:not_sitting
