2026-07-15 13:02:43,914 - ============================================================
2026-07-15 13:02:43,914 - Barkley Tracker 啟動
2026-07-15 13:02:43,914 - Log 檔案：logs\barkley_20260715_130243.log
2026-07-15 13:02:43,915 - ============================================================
2026-07-15 13:02:51,757 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 13:02:51,845 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 13:02:51,852 - 書籍分類 - 設定裝置: CPU
2026-07-15 13:02:51,911 - 書籍分類模型：✓ CPU 編譯成功，使用 CPU
2026-07-15 13:02:52,312 - 幀採樣間隔: 1.0 秒
2026-07-15 13:02:52,312 - YOLO pose ROI 初始位置: (590, 170)
2026-07-15 13:02:52,329 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 13:02:52,329 - YOLO - 設定裝置: GPU
2026-07-15 13:02:56,753 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 13:02:59,134 - Pose: 1 persons | Book: no_book: 0.9943, book_1: 0.0017, book_2: 0.0012, book_3: 0.0028 | Sitting: P0:sitting
2026-07-15 13:03:00,550 - Pose: 1 persons | Book: no_book: 0.9932, book_1: 0.0018, book_2: 0.0012, book_3: 0.0038 | Sitting: P0:sitting
2026-07-15 13:03:01,844 - Pose: 1 persons | Book: no_book: 0.9901, book_1: 0.0027, book_2: 0.0023, book_3: 0.0049 | Sitting: P0:sitting
2026-07-15 13:03:03,179 - Pose: 1 persons | Book: no_book: 0.9915, book_1: 0.0022, book_2: 0.0019, book_3: 0.0044 | Sitting: P0:sitting
2026-07-15 13:03:04,121 - Pose: 1 persons | Book: no_book: 0.9948, book_1: 0.0013, book_2: 0.0008, book_3: 0.0032 | Sitting: P0:sitting
2026-07-15 13:03:04,418 - Pose: 1 persons | Book: no_book: 0.9913, book_1: 0.0022, book_2: 0.0018, book_3: 0.0046 | Sitting: P0:sitting
2026-07-15 13:03:05,412 - Pose: 1 persons | Book: no_book: 0.9972, book_1: 0.0007, book_2: 0.0004, book_3: 0.0017 | Sitting: P0:sitting
2026-07-15 13:03:06,448 - Pose: 1 persons | Book: no_book: 0.9905, book_1: 0.0026, book_2: 0.0019, book_3: 0.0050 | Sitting: P0:sitting
2026-07-15 13:03:07,475 - Pose: 1 persons | Book: no_book: 0.9939, book_1: 0.0016, book_2: 0.0012, book_3: 0.0033 | Sitting: P0:sitting
2026-07-15 13:03:08,484 - Pose: 1 persons | Book: no_book: 0.9905, book_1: 0.0027, book_2: 0.0020, book_3: 0.0047 | Sitting: P0:sitting
2026-07-15 13:03:09,507 - Pose: 1 persons | Book: no_book: 0.9966, book_1: 0.0009, book_2: 0.0006, book_3: 0.0019 | Sitting: P0:sitting
