2026-07-15 14:30:50,417 - ============================================================
2026-07-15 14:30:50,417 - Barkley Tracker 啟動
2026-07-15 14:30:50,418 - Log 檔案：logs\barkley_20260715_143050.log
2026-07-15 14:30:50,418 - ============================================================
2026-07-15 14:30:57,472 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 14:30:57,567 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 14:30:57,574 - 書籍分類 - 設定裝置: CPU
2026-07-15 14:30:57,632 - 書籍分類模型：✓ CPU 編譯成功，使用 CPU
2026-07-15 14:30:58,045 - 幀採樣間隔: 1.0 秒
2026-07-15 14:30:58,045 - YOLO pose ROI 初始位置: (420, 0)
2026-07-15 14:30:58,061 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 14:30:58,062 - YOLO - 設定裝置: GPU
2026-07-15 14:31:02,204 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 14:31:04,604 - Pose: 1 persons | Book: no_book: 0.9955, book_1: 0.0013, book_2: 0.0009, book_3: 0.0023 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:05,910 - Pose: 1 persons | Book: no_book: 0.9954, book_1: 0.0013, book_2: 0.0008, book_3: 0.0025 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:07,144 - Pose: 1 persons | Book: no_book: 0.9969, book_1: 0.0008, book_2: 0.0005, book_3: 0.0018 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:08,429 - Pose: 1 persons | Book: no_book: 0.9929, book_1: 0.0018, book_2: 0.0013, book_3: 0.0040 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:09,282 - Pose: 1 persons | Book: no_book: 0.9895, book_1: 0.0026, book_2: 0.0026, book_3: 0.0054 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:09,669 - Pose: 1 persons | Book: no_book: 0.9907, book_1: 0.0023, book_2: 0.0018, book_3: 0.0051 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:10,672 - Pose: 1 persons | Book: no_book: 0.9918, book_1: 0.0024, book_2: 0.0017, book_3: 0.0041 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:11,698 - Pose: 1 persons | Book: no_book: 0.9934, book_1: 0.0015, book_2: 0.0027, book_3: 0.0025 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:12,705 - Pose: 1 persons | Book: no_book: 0.9913, book_1: 0.0022, book_2: 0.0017, book_3: 0.0048 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:13,729 - Pose: 1 persons | Book: no_book: 0.9921, book_1: 0.0022, book_2: 0.0015, book_3: 0.0042 | Sitting: P0:not_sitting | Smoothed: sitting
2026-07-15 14:31:14,739 - Pose: 1 persons | Book: no_book: 0.9930, book_1: 0.0018, book_2: 0.0013, book_3: 0.0039 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:15,774 - Pose: 1 persons | Book: no_book: 0.9935, book_1: 0.0017, book_2: 0.0014, book_3: 0.0034 | Sitting: P0:sitting | Smoothed: not_sitting
2026-07-15 14:31:16,774 - Pose: 1 persons | Book: no_book: 0.9962, book_1: 0.0010, book_2: 0.0007, book_3: 0.0021 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:17,805 - Pose: 1 persons | Book: no_book: 0.9919, book_1: 0.0023, book_2: 0.0019, book_3: 0.0039 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:18,822 - Pose: 1 persons | Book: no_book: 0.9892, book_1: 0.0029, book_2: 0.0021, book_3: 0.0057 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:19,812 - Pose: 1 persons | Book: no_book: 0.9940, book_1: 0.0018, book_2: 0.0011, book_3: 0.0032 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:20,855 - Pose: 1 persons | Book: no_book: 0.9925, book_1: 0.0022, book_2: 0.0015, book_3: 0.0038 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:21,859 - Pose: 1 persons | Book: no_book: 0.9945, book_1: 0.0015, book_2: 0.0011, book_3: 0.0029 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:22,884 - Pose: 1 persons | Book: no_book: 0.9945, book_1: 0.0015, book_2: 0.0010, book_3: 0.0030 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:23,887 - Pose: 1 persons | Book: no_book: 0.9936, book_1: 0.0020, book_2: 0.0015, book_3: 0.0030 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:24,912 - Pose: 1 persons | Book: no_book: 0.9934, book_1: 0.0017, book_2: 0.0012, book_3: 0.0037 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:25,931 - Pose: 1 persons | Book: no_book: 0.9880, book_1: 0.0033, book_2: 0.0026, book_3: 0.0061 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:26,955 - Pose: 1 persons | Book: no_book: 0.9888, book_1: 0.0029, book_2: 0.0025, book_3: 0.0058 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:27,954 - Pose: 1 persons | Book: no_book: 0.9955, book_1: 0.0011, book_2: 0.0007, book_3: 0.0027 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:28,983 - Pose: 1 persons | Book: no_book: 0.9945, book_1: 0.0015, book_2: 0.0010, book_3: 0.0030 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:29,987 - Pose: 1 persons | Book: no_book: 0.9966, book_1: 0.0008, book_2: 0.0006, book_3: 0.0019 | Sitting: P0:not_sitting | Smoothed: sitting
2026-07-15 14:31:31,021 - Pose: 1 persons | Book: no_book: 0.9912, book_1: 0.0023, book_2: 0.0020, book_3: 0.0045 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:32,033 - Pose: 1 persons | Book: no_book: 0.9879, book_1: 0.0030, book_2: 0.0028, book_3: 0.0064 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:33,041 - Pose: 1 persons | Book: no_book: 0.9933, book_1: 0.0017, book_2: 0.0013, book_3: 0.0037 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:34,053 - Pose: 1 persons | Book: no_book: 0.9927, book_1: 0.0020, book_2: 0.0015, book_3: 0.0038 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:35,057 - Pose: 1 persons | Book: no_book: 0.9888, book_1: 0.0032, book_2: 0.0025, book_3: 0.0056 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:36,093 - Pose: 1 persons | Book: no_book: 0.9910, book_1: 0.0021, book_2: 0.0018, book_3: 0.0050 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:37,107 - Pose: 1 persons | Book: no_book: 0.9959, book_1: 0.0011, book_2: 0.0008, book_3: 0.0023 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:38,110 - Pose: 1 persons | Book: no_book: 0.9903, book_1: 0.0025, book_2: 0.0019, book_3: 0.0053 | Sitting: P0:not_sitting | Smoothed: not_sitting
